id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,custom_label_0,custom_label_1,custom_label_2
VS-IDV-001,Tenant Identity Verification,Verify tenant identity through official Home Affairs DHA database. Confirms identity documents are authentic and match government records. Fast digital verification process.,in stock,new,150.00 ZAR,https://www.vettedstay.com/products/identity-verification,https://www.vettedstay.com/images/identity-verification.jpg,VettedStay,Business & Industrial > Business Services,Business & Industrial,999,,,ID-FRAUD-GROUP,Identity Verification,Single Check,Instant Results
VS-IDV-002,Home Affairs DHA Identity Verification,Official identity verification through Department of Home Affairs. Validates South African ID numbers and documents against government database. Prevents identity fraud.,in stock,new,150.00 ZAR,https://www.vettedstay.com/products/dha-verification,https://www.vettedstay.com/images/dha-verification.jpg,VettedStay,Business & Industrial > Business Services,Business & Industrial,999,,,ID-FRAUD-GROUP,Identity Verification,Single Check,Government Verified
VS-CRD-001,Tenant Credit Profile,Quick credit overview showing payment behavior and credit score. Identifies payment patterns and financial responsibility. Essential for rental decisions.,in stock,new,200.00 ZAR,https://www.vettedstay.com/products/credit-profile,https://www.vettedstay.com/images/credit-profile.jpg,VettedStay,Business & Industrial > Business Services,Business & Industrial,999,,,CREDIT-GROUP,Credit Check,Single Check,Financial Assessment
VS-CRD-002,Detailed Credit Report,Comprehensive credit report with full payment history. Shows all credit accounts debts and judgments. Bureau-verified financial information.,in stock,new,350.00 ZAR,https://www.vettedstay.com/products/credit-report,https://www.vettedstay.com/images/credit-report.jpg,VettedStay,Business & Industrial > Business Services,Business & Industrial,999,,,CREDIT-GROUP,Credit Check,Single Check,Detailed Analysis
VS-RNT-001,Rental Payment Profile,Track record of rental payments from previous landlords. Shows payment punctuality and rental history. Critical for assessing tenant reliability.,in stock,new,250.00 ZAR,https://www.vettedstay.com/products/rental-profile,https://www.vettedstay.com/images/rental-profile.jpg,VettedStay,Business & Industrial > Business Services,Business & Industrial,999,,,RENTAL-GROUP,Rental History,Single Check,Payment Tracking
VS-RNT-002,Landlord Reference Verification,Direct verification with previous landlords. Confirms rental history behavior and disputes. Professional reference checking service.,in stock,new,200.00 ZAR,https://www.vettedstay.com/products/landlord-reference,https://www.vettedstay.com/images/landlord-reference.jpg,VettedStay,Business & Industrial > Business Services,Business & Industrial,999,,,RENTAL-GROUP,Rental History,Single Check,Reference Check
VS-EMP-001,Employment Verification,Confirm current employment status and position. Verifies employer details and job tenure. Protects against employment fraud.,in stock,new,180.00 ZAR,https://www.vettedstay.com/products/employment-verification,https://www.vettedstay.com/images/employment-verification.jpg,VettedStay,Business & Industrial > Business Services,Business & Industrial,999,,,EMPLOYMENT-GROUP,Employment Check,Single Check,Job Verification
VS-EMP-002,Income & Affordability Assessment,Detailed income verification and affordability analysis. Calculates debt-to-income ratio. Ensures tenant can afford rent payments.,in stock,new,300.00 ZAR,https://www.vettedstay.com/products/affordability-assessment,https://www.vettedstay.com/images/affordability.jpg,VettedStay,Business & Industrial > Business Services,Business & Industrial,999,,,EMPLOYMENT-GROUP,Income Verification,Single Check,Financial Capacity
VS-BKG-001,Criminal Record Check,Consent-based criminal record screening. Searches national criminal database. Identifies potential safety risks for properties.,in stock,new,250.00 ZAR,https://www.vettedstay.com/products/criminal-check,https://www.vettedstay.com/images/criminal-check.jpg,VettedStay,Business & Industrial > Business Services,Business & Industrial,999,,,BACKGROUND-GROUP,Background Screening,Single Check,Consent Required
VS-BKG-002,Fraud & Risk Flags Screening,Comprehensive fraud database screening. Identifies known fraud patterns and red flags. Multi-bureau risk assessment.,in stock,new,200.00 ZAR,https://www.vettedstay.com/products/fraud-screening,https://www.vettedstay.com/images/fraud-screening.jpg,VettedStay,Business & Industrial > Business Services,Business & Industrial,999,,,BACKGROUND-GROUP,Risk Screening,Single Check,Fraud Prevention
VS-BND-001,Essential Tenant Check,Basic tenant screening bundle. Includes identity verification credit profile and fraud screening. Perfect for budget-conscious landlords.,in stock,new,450.00 ZAR,https://www.vettedstay.com/products/essential-check,https://www.vettedstay.com/images/essential-bundle.jpg,VettedStay,Business & Industrial > Business Services,Business & Industrial,999,400.00 ZAR,,BUNDLE-GROUP,Bundle Package,Multi Check,Basic Protection
VS-BND-002,Standard Tenant Screening,Popular complete screening package. Includes identity credit rental history and employment verification. Most comprehensive value.,in stock,new,850.00 ZAR,https://www.vettedstay.com/products/standard-screening,https://www.vettedstay.com/images/standard-bundle.jpg,VettedStay,Business & Industrial > Business Services,Business & Industrial,999,750.00 ZAR,,BUNDLE-GROUP,Bundle Package,Multi Check,Recommended
VS-BND-003,Comprehensive Tenant Vetting,Premium full-spectrum tenant vetting. All checks included plus criminal record and detailed reports. Maximum protection for high-value properties.,in stock,new,1200.00 ZAR,https://www.vettedstay.com/products/comprehensive-vetting,https://www.vettedstay.com/images/comprehensive-bundle.jpg,VettedStay,Business & Industrial > Business Services,Business & Industrial,999,1100.00 ZAR,,BUNDLE-GROUP,Bundle Package,Multi Check,Premium Protection
